NNIT.CO	3.6	0.0	1.5	0.0	0.5	1.0	1.0	1.0	5
AMLAK.AE	4.6	0.0	1.5	1.0	1.0	1.0	1.0	1.0	4
DUOL	1.8	1.0	0.5	0.0	0.0	1.0	0.0	0.0	7
DEWA.AE	3.2	0.0	0.0	0.0	0.5	1.0	1.0	2.0	5
DIB.AE	3.6	0.0	1.5	0.0	1.0	1.0	1.0	0.5	4
TAALEEM.AE	2.9	0.0	0.5	0.0	1.0	1.0	1.0	0.5	5
DTC.AE	3.6	0.0	0.5	0.0	2.0	1.0	1.0	0.5	5
ERC.AE	4.6	0.0	1.5	1.0	0.0	1.0	1.0	2.0	5
ROCKB.CO	3.6	1.5	0.5	0.0	1.0	1.0	1.0	0.0	4
EMAARDEV.AE	3.9	0.0	1.0	1.0	0.0	1.0	1.0	1.5	5
SALIK.AE	3.6	0.0	1.0	0.0	2.0	1.0	1.0	0.0	5
PAALb.CO	2.9	0.5	1.0	0.0	0.5	1.0	1.0	0.0	5
UPP.AE	3.9	0.5	1.0	2.0	0.0	1.0	1.0	0.0	5
ECHO	2.9	1.0	0.5	0.0	1.0	1.5	0.0	0.0	7
EEFT	3.6	1.0	0.5	0.0	1.5	1.5	0.5	0.0	7
ELMT	2.9	1.0	0.0	0.0	0.0	1.0	0.5	1.5	6
EH	3.9	1.0	2.0	0.0	0.5	2.0	0.0	0.0	7
ENSG	2.9	0.5	0.0	1.0	1.0	1.0	0.5	0.0	7
ENVX	5.4	2.0	2.0	0.0	2.0	1.5	0.0	0.0	7
EQPT	5.7	1.0	1.5	0.0	2.0	1.5	1.0	1.0	6
ENGN	2.9	0.0	1.5	0.0	0.0	0.5	1.0	1.0	7
ESTA	3.6	1.0	0.0	0.0	2.0	1.5	0.0	0.5	7
EVCM	4.3	1.0	0.5	0.0	0.5	2.0	0.0	2.0	7
ESEA	3.2	0.5	1.0	0.0	0.5	0.0	1.5	1.0	7
EWBC	2.9	1.0	0.5	0.0	1.0	1.5	0.0	0.0	6
EXPE	3.6	1.5	0.0	0.0	1.5	1.0	1.0	0.0	7
EYE	2.9	1.0	1.0	0.0	0.5	1.5	0.0	0.0	7
FA	3.9	1.0	0.5	0.0	1.5	1.0	0.5	1.0	7
EXEL	2.1	0.0	1.0	0.0	0.0	2.0	0.0	0.0	7
FFIN	3.6	1.0	0.0	1.0	1.0	2.0	0.0	0.0	6
FCFS	2.1	0.5	0.5	0.0	1.0	1.0	0.0	0.0	7
FATE	3.2	2.0	0.5	0.0	0.5	1.0	0.5	0.0	7
FIBK	3.6	0.5	0.5	1.0	1.0	2.0	0.0	0.0	6
FISI	2.9	0.5	1.0	0.0	1.0	1.0	0.5	0.0	6
FIVE	2.1	1.0	0.5	0.0	1.0	0.5	0.0	0.0	7
FDUS	2.5	0.5	0.0	0.0	1.0	1.0	0.0	1.0	6
FLD	3.6	0.0	1.5	0.0	0.5	0.5	0.5	2.0	7
FLL	5.7	1.5	2.0	2.0	1.0	1.0	0.5	0.0	6
FLY	2.9	1.0	1.5	0.0	0.0	1.0	0.0	0.5	6
FMNB	2.5	0.5	1.0	0.0	1.0	1.0	0.0	0.0	6
FRPT	2.1	1.5	0.0	0.0	0.5	1.0	0.0	0.0	7
FRVO	3.2	1.0	2.0	0.0	0.0	1.0	0.0	0.5	6
FOXF	2.9	1.5	0.0	0.0	1.0	1.0	0.5	0.0	7
FRMI	4.3	1.0	2.0	0.0	0.5	1.0	1.0	0.5	6
