AZN	AstraZeneca PLC ADR	164.49	85.71%	Strong Buy	0%
LIN	Linde PLC	481.29	85.71%	Strong Buy	1.27%
ASML	ASML Holding NV	1763.76	100.00%	Strong Buy	0.51%
ISRG	Intuitive Surgical Inc	374.48	83.33%	Strong Buy	0%
TMUS	T-Mobile Us Inc	181.22	82.35%	Strong Buy	2.15%
WDAY	Workday Inc A	197.32	50.00%	Moderate Buy	0%
ADI.US	Analog Devices Inc	370.24			1.12%
EQIX	Equinix Inc	1065.39	83.33%	Strong Buy	1.89%
PAYX	Paychex Inc	122.91	69.23%	Hold	3.65%
SIRI	Sirius XM Holdings Inc	28.39	33.33%	Hold	3.76%
TEAM	Atlassian Corp PLC A	174.91	90.91%	Strong Buy	0%
ALGN	Align Technology Inc	158.94	66.67%	Moderate Buy	0%
LULU	Lululemon Athletica Inc	115.69	85.71%	Hold	0%
MCHP	Microchip Technology Inc	75.81	73.68%	Moderate Buy	2.39%
ULTA	Ulta Beauty Inc	515.14	77.27%	Moderate Buy	0%
KLAC	KLA Corp	185.86	71.43%	Moderate Buy	0.46%
IDXX	IDEXX Laboratories Inc	545.86	57.14%	Moderate Buy	0%
CDNS	Cadence Design Systems Inc	313.59	87.50%	Strong Buy	0%
PPLI	People Inc	37.62	83.33%	Strong Buy	0%
SNPS	Synopsys Inc	397.92	80.00%	Strong Buy	0%
FANG	Diamondback Energy Inc	211.02	85.71%	Strong Buy	2.02%
FTNT	Fortinet Inc	150.79	67.74%	Hold	0%
CGC	Canopy Growth Corp	1.05	66.67%	Moderate Buy	0%
VTRS	Viatris Inc	16.12	50.00%	Hold	3.68%
HBAN	Huntington Bancshares Inc	17.01	57.14%	Moderate Buy	3.64%
STX.US	Seagate Technology PLC	850.24			0.35%
MRVL	Marvell Technology Group Ltd	251.01	82.76%	Strong Buy	0.10%
TSCO	Tractor Supply Co	35.05	55.00%	Moderate Buy	2.69%
STNE	StoneCo Ltd A	9.16	40.00%	Hold	0%
DXCM	DexCom Inc	90.22	94.74%	Strong Buy	0%
OKTA	Okta Inc	134.16	86.11%	Strong Buy	0%
FFIV	F5 Networks Inc	377.79	60.00%	Hold	0%
ON	ON Semiconductor Corp	74.71	56.52%	Moderate Buy	0%
DOCU	DocuSign Inc	62.28	69.23%	Hold	0%
TTD	Trade Desk Inc	13.32	66.67%	Hold	0%
SRPT	Sarepta Therapeutics Inc	19.22	43.75%	Hold	0%
ZION	Zions Bancorp NA	67.89	56.25%	Hold	2.69%
ZS	Zscaler Inc	174.95	80.00%	Strong Buy	0%
MDB	MongoDB Inc	420.37	89.66%	Strong Buy	0%
OLED	Universal Display Corp	86.50	66.67%	Moderate Buy	2.21%
ROKU	Roku Inc	157.12	70.83%	Moderate Buy	0%
FIVE	Five Below Inc	236.31	73.68%	Moderate Buy	0%
NTNX	Nutanix Inc A	66.33	60.00%	Moderate Buy	0%
GH	Guardant Health Inc	167.88	100.00%	Strong Buy	0%
LITE	Lumentum Holdings Inc	879.28	75.00%	Strong Buy	0%
BHF	Brighthouse Financial Inc	53.22	66.67%	Moderate Sell	0%
TNDM	Tandem Diabetes Care Inc	22.57	56.25%	Moderate Buy	0%
LNT	Alliant Energy Corp	69.46	50.00%	Moderate Buy	3.11%
JKHY	Jack Henry & Associates Inc	165.08	75.00%	Strong Buy	1.43%
PDD	PDD Holdings Inc - ADR	89.52	54.55%	Moderate Buy	0%
WB	Weibo Corp-ADR	7.19	60.00%	Hold	8.68%
BILI	Bilibili-ADR	16.66	100.00%	Strong Buy	0%
NIU	Niu Technologies-ADR	2.00			0%
FSLY	Fastly Inc	22.71	50.00%	Moderate Buy	0%
GRWG	GrowGeneration	1.78	100.00%	Moderate Buy	0%
RPAY	Repay Holdings Corp	3.86	66.67%	Moderate Buy	0%
NNOX	Nano-X Imaging Ltd.	0.89	100.00%	Hold	0%
LLYVK	Liberty Live Holdings Inc-C	105.45			0%
DOX	Amdocs Ltd	60.90	50.00%	Moderate Buy	3.57%
API	Agora Inc-ADR	4.32	100.00%	Moderate Buy	0%
CRSR	Corsair Gaming Inc	10.91	50.00%	Hold	0%
ENTG	Entegris Inc	144.63	87.50%	Strong Buy	0.28%
KC	Kingsoft Cloud Holdings Ltd-ADR	11.42	100.00%	Strong Buy	0%
MGNI	Magnite Inc	23.35	92.31%	Strong Buy	0%
MANH	Manhattan Associates Inc	211.21	88.89%	Strong Buy	0%
MIDD.US	Middleby Corp	112.52			0%
CRWD	Crowdstrike Holdings	190.34	78.95%	Strong Buy	0%
KTOS	Kratos Defense & Security Solutions Inc	56.18	93.33%	Strong Buy	0%
AMBA	Ambarella Inc	72.45	63.64%	Moderate Buy	0%
AVAV	AeroVironment Inc.	159.79	88.24%	Strong Buy	0%
DOYU	Douyu -ADR	4.46	100.00%	Hold	0%
QFIN	Qifu Technology Inc	11.45	100.00%	Hold	13.30%
ALRM	Alarm.com Holdings Inc.	57.06	50.00%	Moderate Buy	0%
AXGN	Axogen Inc.	46.44	100.00%	Strong Buy	0%
BLDP	Ballard Power Systems Inc.	2.37	60.00%	Hold	0%
CSIQ	Canadian Solar Inc.	14.73	50.00%	Moderate Sell	0%
CEVA	Ceva Inc.	28.13	77.78%	Strong Buy	0%
ENPH	Enphase Energy Inc.	38.36	57.14%	Hold	0%
EEFT	Euronet Worldwide Inc.	69.38	57.14%	Moderate Buy	0%
FLEX	Flex Ltd	110.32	100.00%	Strong Buy	0%
FOSL	Fossil Group Inc.	5.58	100.00%	Moderate Buy	0%
GNTX	Gentex Corporation	23.59	75.00%	Hold	2.03%
PI	Impinj Inc.	159.73	87.50%	Strong Buy	0%
PODD	Insulet Corp.	146.87	56.52%	Moderate Buy	0%
IDCC	InterDigital Inc.	341.93	100.00%	Strong Buy	0.82%
IRTC	IRhythm Holdings Inc	127.98	100.00%	Strong Buy	0%
JOUT	Johnson Outdoors Inc.	47.12			2.78%
POOL	Pool Corp.	190.33	60.00%	Hold	2.71%
PTC	PTC Inc.	153.52	60.00%	Moderate Buy	0%
QRVO	Qorvo Inc.	96.31	100.00%	Hold	0%
SMTC	Semtech Corp.	124.88	85.71%	Strong Buy	0%
SLAB	Silicon Laboratories Inc.	218.10	100.00%	Hold	0%
RUN	Sunrun Inc.	9.36	70.59%	Moderate Buy	0%
UEIC	Universal Electronics Inc.	4.78	100.00%	Hold	0%
ZBRA	Zebra Technologies Corp.	360.52	63.64%	Moderate Buy	0%
XXII	22nd Century Group Inc.	78.57			0%
WW	Weight Watchers International Inc.	15.00			0%
FLWS	1 800 FLOWERS COM	4.02			0%
CBRL	Cracker Barrel Old Country Store Inc.	55.13	33.33%	Hold	1.73%
PZZA	Papa John's International Inc	23.32	75.00%	Hold	5.76%
SFM	Sprouts Farmers Market Inc.	78.38	54.55%	Moderate Buy	0%
PTON	Peloton Interactive	5.58	50.00%	Moderate Buy	0%
JFU	9F Inc-ADR	2.77			0%
CSGP	CoStar Group Inc	32.26	46.67%	Moderate Buy	0%
ZM	Zoom Video Communications Inc	106.30	72.73%	Moderate Buy	0%
MKTX	Marketaxess Holdings Inc	161.90	100.00%	Hold	1.91%
SSNC	SS&C Technologies Holdings Inc	82.12	75.00%	Strong Buy	1.30%
CPRT	Copart Inc	34.33	50.00%	Hold	0%
ODFL	Old Dominion Freight Line Inc	204.52	50.00%	Moderate Buy	0.55%
BMRN	BioMarin Pharmaceutical Inc	67.68	78.95%	Strong Buy	0%
ACAD	ACADIA Pharmaceuticals Inc	29.04	75.00%	Strong Buy	0%
OLLI	Ollie's Bargain Outlet Holdings Inc	74.75	76.92%	Strong Buy	0%
ARWR	Arrowhead Pharmaceuticals Inc	87.47	100.00%	Strong Buy	0%
NBIX	Neurocrine Biosciences Inc	152.93	88.46%	Strong Buy	0%
NVCR	Novocure Ltd	17.77	50.00%	Moderate Buy	0%
EHTH	eHealth Inc	1.22	100.00%	Hold	0%
SFIX	Stitch Fix Inc	3.34	60.00%	Moderate Buy	0%
TREE.US	LendingTree Inc	30.59			0%
BZUN	Baozun Inc-ADR	2.80			0%
HQY	HealthEquity Inc	104.27	90.00%	Strong Buy	0%
REG	Regency Centers Corp	76.51	57.14%	Moderate Buy	3.90%
CRUS	Cirrus Logic Inc	116.90	60.00%	Moderate Buy	0%
PENN	Penn National Gaming Inc	18.44	62.50%	Moderate Buy	0%
GOSS	Gossamer Bio Inc	0.16	40.00%	Hold	0%
CROX	Crocs Inc	123.09	46.15%	Moderate Buy	0%
AXON	Axon Enterprise Inc	614.26	90.91%	Strong Buy	0%
CHRS	Coherus Biosciences Inc	1.32	100.00%	Strong Buy	0%
FRPT	Freshpet Inc	74.13	70.00%	Moderate Buy	0%
EXEL	Exelixis Inc	53.69	66.67%	Hold	0%
NTRA	Natera Inc	324.84	90.48%	Strong Buy	0%
CZR	Caesars Entertainment Inc	29.64	100.00%	Hold	0%
HTHT	Huazhu Group Ltd-ADR	49.54	100.00%	Moderate Buy	4.29%
MRCY	Mercury Systems Inc	94.23	75.00%	Strong Buy	0%
BRKR	Bruker Corp	59.92	50.00%	Moderate Buy	0.34%
INGN	Inogen Inc	5.60	100.00%	Moderate Buy	0%
PLAY	Dave & Busters Entertainment Inc	9.85	83.33%	Hold	0%
LPSN	LivePerson Inc	2.74			0%
VCYT	Veracyte Inc	41.79	77.78%	Moderate Buy	0%
RGEN	Repligen Corp	180.29	92.31%	Strong Buy	0%
JACK	Jack in the Box Inc	16.60	70.00%	Moderate Buy	0%
TXRH	Texas Roadhouse Inc	201.19	58.82%	Moderate Buy	1.40%
SBRA	Sabra Health Care REIT Inc	20.53	58.33%	Moderate Buy	5.89%
TECH	Bio-Techne Corp	72.28	100.00%	Hold	0.33%
MRNA	Moderna Inc	133.32	80.00%	Hold	0%
NVAX	Novavax Inc	8.42	50.00%	Hold	0%
CODX	Co-Diagnostics Inc	1.15	100.00%	Moderate Buy	0%
COIN	Coinbase Global Inc	172.35	72.00%	Moderate Buy	0%
AIHS	Senmiao Technology Ltd	1.35			0%
ALDX	Aldeyra Therapeutics Inc	1.50	100.00%	Hold	0%
SHLS	Shoals Technologies Group Inc	7.38	66.67%	Moderate Buy	0%
TTEK	Tetra Tech Inc	36.57	60.00%	Moderate Buy	0.74%
APPS	Digital Turbine Inc	10.71	100.00%	Strong Buy	0%
AVXL	Anavex Life Sciences Corp	3.13			0%
CRTO	CRITEO SA-SPON ADR	17.48	50.00%	Moderate Buy	0%
FABC	FabricAI Inc	2.76			0%
AYTU	Aytu BioScience Inc	2.28	100.00%	Moderate Buy	0%
BKYI	Bio-key International Inc	3.10	100.00%	Moderate Buy	0%
BLFS	BioLife Solutions Inc	36.97	100.00%	Hold	0%
BLNK	Blink Charging Co	0.57	66.67%	Moderate Buy	0%
BNGO	BioNano Genomics Inc	1.21	100.00%	Moderate Buy	0%
BOXL	Boxlight Corp	5.97			0%
