ITX.MC	6.5	0.5	1.0	1.0	1.0	1.5	1.0	2.0	1.5	1.0	2.0	1.5	0.5	1.0	1.5	2.0	1.5	1.0	2.0	17
RNW	6.5	1.0	1.0	1.0	0.5	1.0	1.5	2.0	2.0	0.0	0.5	2.0	1.5	1.5	1.0	1.0	2.0	2.0	2.0	17
URW.PA	7.2	1.0	1.0	1.0	1.0	2.0	0.5	2.0	2.0	2.0	1.5	0.5	2.0	1.0	0.5	2.0	2.0	2.0	2.0	16
QFG.BR	4.7	0.0	1.0	1.0	1.0	0.5	2.0	0.0	2.0	1.0	0.5	1.0	2.0	1.0	1.0	1.0	0.0	2.0	0.0	13
ASIX	3.6	1.0	0.0	1.0	0.0	0.5	1.0	0.0	0.5	0.0	0.5	1.0	2.0	1.5	2.0	0.0	0.5	0.5	1.0	16
ALG	6.5	2.0	2.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.5	1.5	2.0	2.0	1.0	1.0	1.0	18
ENIC	6.7	1.5	2.0	1.0	1.0	1.5	0.0	1.5	1.0	1.5	0.5	2.0	1.5	1.5	1.5	2.0	1.5	0.5	2.0	17
SPOT	4.6	1.5	0.0	1.0	0.5	1.5	1.5	1.0	1.0	0.5	2.0	0.5	0.0	0.0	1.0	1.0	1.0	1.0	1.5	18
DMNIF	4.0	1.0	1.0	1.0	1.0	0.5	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	10
APPF	5.3	0.0	1.0	1.0	1.0	1.5	1.5	2.0	1.5	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	0.5	2.0	18
BOWL.L	6.1	1.5	1.0	0.5	1.0	1.5	1.0	2.0	1.5	2.0	1.0	0.0	0.0	1.5	1.5	1.5	1.5	1.0	2.0	16
AMZN.24-7	6.1	1.5	1.0	1.0	1.5	1.5	1.5	2.0	1.0	0.5	2.0	0.5	1.0	1.0	1.5	1.0	1.5	0.5	1.5	17
1997.HK	6.1	2.0	1.0	1.0	1.0	0.0	0.5	2.0	2.0	1.5	1.5	1.0	2.0	1.5	0.5	0.0	2.0	0.5	2.0	15
UNIT	6.1	2.0	1.0	1.0	0.0	2.0	2.0	2.0	0.5	0.0	1.0	1.0	0.5	1.5	1.5	1.0	2.0	2.0	1.0	17
TOL	6.0	2.0	0.0	1.0	0.5	1.5	0.5	1.0	1.0	1.0	1.5	1.5	1.5	1.5	2.0	2.0	1.0	1.0	1.0	18
