144.HK	6.1		6.1	8
ARR	5.2		5.2	8
STB.L	5.0		5.0	8
IPDN	3.4		3.4	6
CEC.DE	4.8		4.8	8
GMR.L	6.0	6.1	5.7	19
ALFPC.PA	4.1		4.1	7
FMC	5.2	5.4	4.8	23
CLBK	6.2	6.2	6.1	19
ABOS	5.4	6.1	3.9	20
SLAMF	3.0		3.0	5
GENI	5.3	5.2	5.5	22
SPINNEYS.AE	5.7		5.7	9
RNG	6.2	5.9	6.8	23
HEMO.L	3.0		3.0	5
DMRA	5.1	5.4	4.3	21
BWY.L	5.4	5.7	4.8	20
GUBRA.CO	3.4		3.4	7
CDZI	4.5	5.0	3.2	22
PZC.L	5.5	5.7	5.0	19
ULBI	4.3		4.3	7
GSM	5.6	6.1	4.3	20
PPL	5.6	5.2	6.4	23
CDLX	4.4	4.8	3.6	20
ALCAT.PA	6.1		6.1	9
CARLB.CO	5.7		5.7	9
3659.T	6.4		6.4	10
NOK	6.2	6.6	5.2	24
8697.T	5.0		5.0	8
LUXE	6.4	6.8	5.5	21
DECK	6.9	7.1	6.6	24
ALUNI.PA	6.4		6.4	9
CBSH	5.8	5.9	5.7	20
CM	5.7	5.4	6.4	20
KRRO	4.5	5.0	3.4	20
TRE.MC	5.0		5.0	9
MRC.L	5.5		5.5	2
DMP.ASX	5.2	5.4	4.8	19
1628.HK	5.2		5.2	6
MKC/V	5.6	5.7	5.5	4
AAON	6.7	7.4	5.2	23
TRDA	4.4	5.5	2.0	22
H9W.DE	4.1		4.1	6
SFIX	5.2	5.0	5.5	21
GNC.ASX	4.8	5.0	4.5	19
AVGO	7.7	7.3	8.6	24
WTB.L	4.7	4.5	5.0	20
ACS.MC	6.7	6.8	6.4	20
CCC.L	6.1	6.8	4.5	20
SPRB	4.2	4.5	3.6	19
NUF.ASX	5.8	6.4	4.3	17
6273.T	7.3		7.3	9
PRLD	5.8	6.2	4.8	20
FBU.ASX	5.0	5.0	5.0	19
GLBS	6.9	7.0	6.6	21
YETI	6.4	6.6	5.9	24
AZE.BR	5.7		5.7	9
WGO	5.9	5.9	5.9	23
BBW	6.0	6.4	5.2	22
SARO	6.0	6.2	5.7	23
GWH	2.3		2.3	8
AMTM	6.0	6.1	5.7	23
BMN.ASX	5.1	5.5	4.3	16
ACX.MC	5.8	5.7	5.9	21
AES	5.3	5.5	5.0	23
MICC.L	5.6	5.5	5.7	21
AIFC	4.1		4.1	8
CVNA	6.8	7.5	5.0	24
01055.HK	3.9		3.9	8
CACI	6.6	7.1	5.5	23
MGAM.L	5.3	5.5	5.0	18
PACB	4.1	4.3	3.6	21
8309.T	6.6		6.6	9
SBET	4.7	4.6	4.8	21
EOG.L	3.4		3.4	5
KOSKI.HE	3.9		3.9	10
INF.PA	6.4		6.4	9
EROC	6.3	7.5	3.6	17
VNA.DE	4.6	4.1	5.9	22
BIGGQ	4.1		4.1	7
NOC	6.0	6.4	5.2	23
CAN	4.5	5.0	3.2	19
TREX	6.2	5.9	7.0	23
06881.HK	7.3		7.3	8
AKA.US	5.2	5.5	4.5	20
TRGP	6.9	7.1	6.4	24
STLD	6.5	7.0	5.2	23
MGNI	7.3	7.0	8.0	24
KARD	5.6	6.4	3.6	15
GFC.PA	4.8	3.9	6.8	20
WSFS	6.1	5.7	7.0	20
QDT.PA	5.7		5.7	8
ABO.DE	5.2		5.2	6
GNTX	6.5	6.4	6.6	23
RXL.PA	6.4	6.6	5.9	19
5831.T	5.9		5.9	9
SPOK	6.4		6.4	8
4042.T	6.1		6.1	8
MSGE	6.0	6.2	5.7	23
BLTE	4.9	5.0	4.8	19
CWT	5.3	4.8	6.4	22
ALTD.PA	4.8		4.8	5
LEG.DE	4.6	3.8	6.4	22
ODTX	5.2	5.9	3.6	15
AEIN.DE	4.8	5.0	4.3	17
MNY	4.1		4.1	7
ATEME.PA	5.0		5.0	9
DIB.AE	5.9		5.9	9
TMC	5.2	5.9	3.6	19
GGB	6.0	6.1	5.7	24
ZOMDF	4.5		4.5	6
HIFS	6.1		6.1	6
PIN.L	5.0		5.0	4
C1V0.DE	3.4		3.4	8
TEP.PA	6.2	6.2	6.1	19
BORR	5.1	5.9	3.2	22
PCTN.L	6.4		6.4	8
GEV	6.2	6.6	5.2	24
AGS.BR	5.0		5.0	8
EDU	6.7	6.6	6.8	22
NMRK	5.8	5.5	6.6	23
COLD	4.2	4.5	3.6	23
INSW	7.3	7.5	7.0	23
LYC.ASX	6.2	5.7	7.3	19
TPRO.MI	6.4	6.4	6.4	19
RECT.BR	5.5		5.5	9
GBTG	6.6		6.6	10
NMIH	7.7	7.5	8.0	23
INPST.NV	5.5		5.5	9
SPGI	6.5	6.2	7.3	24
B	6.2	6.1	6.6	23
ADSK	6.7	5.9	8.4	24
CPRI	5.6	5.5	5.7	23
LACR.PA	5.2		5.2	9
EBS	5.5	5.2	6.1	22
BCRX	6.7	6.6	7.0	21
DGE.L	5.6	5.2	6.4	20
EHTH	5.6	5.9	5.0	21
IFF	5.3	5.5	5.0	22
TCRX	3.4	3.8	2.5	22
NAMS	4.1	4.3	3.6	22
SMG	6.7	6.8	6.4	23
LEG	6.0	6.4	5.0	22
ERA.PA	5.0		5.0	8
TCL.ASX	4.7	4.1	6.1	20
NTES	6.6	5.7	8.6	23
MIR.US	5.7	5.7	5.7	24
GMAB.CO	7.0		7.0	10
SAMG	4.5		4.5	10
AXICY	6.4		6.4	7
