ROR.L	Rotork PLC	485.20			1.72%
ROSNL.L	Rosneft OAO	1.01			0%
RPI.L	Raspberry Pi Ltd	582.50			0%
RR.L	Rolls-Royce	1.53K			0.72%
RS1.L	Electrocomponents PLC	741.00			3.08%
RSG.L	Resolute Mining Limited	68.20			0%
RSW.L	Renishaw PLC	5.06K			1.54%
RTO.L	Rentokil Initial PLC	345.10			2.71%
RWA.L	Robert Walters Plc	147.00			0%
SAFE.L	Safestore Holdings PLC	609.00			5.07%
SAGA.L	Saga PLC	681.00			0%
SBER.MOEX	Sberbank Moscow	0.00			0%
SBID.L	State Bank of India	110.40			1.64%
SBRE.L	Sabre Insurance Group Plc	172.80			7.52%
SBRY.L	J Sainsbury PLC	335.10			4.09%
SCT.L	Softcat PLC	2.07K			1.46%
SDLF.L	Standard Life PLC	935.50			5.91%
SDP.L	Schroder AsiaPacific Fund	830.00			0%
SDR.L	Schroders	583.50			3.77%
SDY.L	Speedy Hire Plc	18.74			5.30%
SEIT.L	SDCL Efficiency Income Trust Plc	36.10			0%
SEPL.L	Seplat Energy Plc	641.00			2.30%
SEQI.L	Sequoia Economic Infrastructure Income Fund	85.70			0%
SERE.L	Schroder European Reit Plc	60.40			8.43%
SFR.L	Severfield Plc	37.95			0%
SGE.L	The Sage Group plc	1.10K			2.03%
SGGD.L	Surgutneftegas OAO-ADR	0.40			0%
SGRO.L	Segro	967.60			3.26%
SHC.L	Shaftesbury Capital PLC	151.70			1.37%
SHEL.L	Shell PLC	3.38K			2.48%
SHI.L	SIG PLC	8.47			0%
SIHL.L	Symphony International Holdi	0.32			0%
SMIN.L	Smiths Group	2.62K			1.79%
SMSD.L	Samsung Electro-Regs Gdr Pfd	3.50K			0.63%
SMSN.L	Samsung Electronics Co Ltd - GDR	4.69K			0.47%
SMT.L	Scottish Mortgage Investment Trust	1.48K			0%
SMWH.L	WH Smith PLC	414.60			1.45%
SN.L	Smith & Nephew	1.07K			2.72%
SNR.L	Senior PLC	294.00			1.02%
SNWS.L	Smiths News Plc	68.80			8.02%
SPI.L	Spire Healthcare Group PLC	236.00			0.63%
SPX.L	Spirax-Sarco Engineering PLC	7.16K			2.37%
SRAD.L	Stelrad Group Plc	145.00			5.58%
SRE.L	Sirius Real Estate Limited	97.20			5.76%
SREI.L	Schroder Real Estate Inv. Tst. Ld	43.40			8.28%
SRP.L	Serco Group PLC	261.40			1.73%
SSE.L	SSE	2.40K			2.85%
SSIT.L	Seraphim Space Investment Trust Plc	187.40			0%
SSPG.L	SSP Group Plc	201.20			2.18%
STAN.L	Standard Chartered	2.14K			1.70%
STB.L	Secure Trust Bank Plc	1.52K			2.32%
STJ.L	St.James's Place Capital Plc	1.18K			1.52%
STVG.L	Stv Group Plc	106.00			0%
SUNB.L	Sunbelt Rentals Holdings Inc	5.58K			1.50%
SUS.L	S & U Plc	1.94K			5.84%
SVS.L	Savills PLC	1.07K			2.15%
SVSTL.L	Severstal PAO	0.10			0%
SVT.L	Severn Trent	3.14K			4.00%
SWC.L	The Smarter Web Company Plc	32.25			0%
SYNT.L	Synthomer PLC	98.40			0%
TATE.L	Tate & Lyle	553.50			3.57%
TBCG.L	TBC Bank Group PLC	4.99K			5.12%
TCAP.L	TP ICAP PLC	335.20			5.05%
TEM.L	Templeton Emerging Markets Investment Tr	318.50			1.65%
TEP.L	Telecom Plus PLC	855.00			5.81%
TET.L	Treatt Plc	304.00			1.84%
TGA.L	Thungela Resources Limited	547.00			3.23%
THG.L	THG Plc	34.16			0%
THRL.L	Target Healthcare Reit Plc	112.80			5.33%
TLW.L	Tullow Oil	20.45			0%
TMIP.L	Taylor Maritime Investments Limited	55.50			7.77%
TMPL.L	Temple Bar Investment Trust PLC	422.50			0%
TOWN.L	Town Centre Securities Plc	121.00			4.07%
TPK.L	Travis Perkins	651.00			1.84%
TPT.L	Topps Tiles Plc	34.50			8.86%
TRI.L	Trifast Plc	85.00			2.11%
TRIG.L	Renewables Infrastructure Group Ltd	76.50			0%
TRN.L	Trainline PLC	198.00			0%
TRST.L	Trustpilot Group Plc	287.40			0%
